強い好み、趣味、嗜好	penchant
付加物、付属物	adjunct
わずかな量、わずかな食いぶち、わずかな収入	pittance
埋め込み、埋め込まれたもの、インプラント	implant
だんだん小さくなる、縮まる、衰える	dwindle
防備を固める、要塞を築く	fortify
あふれそうになる、あふれる	brim
色褪せる/色褪せさせる、(名声など	tarnish
光を発する、輝く、明るくされた、明瞭な	luminous
厭世的な、悲観的な	pessimistic
だらしない、みすぼらしい	scruffy
熟練した、熟達した	adept
都合のよい、さい先のよい	propitious
だまされやすい、すぐ真に受ける	gullible
人目を引く、目立つ、派手な	conspicuous
気前のよい、物惜しみしない、豊富な	bountiful
仕返し、報復、復讐	retaliation
編集、編纂	compilation
改良、改善	reformation
燃焼、激高、騒動、動揺	combustion
操る、さっと読む	flip through
組み立てる、建設する、装う	rig up
縮小する、小さくする	scale down
(人を買収する、抱き込む	buy off
並外れた、巨大な、驚異的な	prodigious
未納の、滞納している、義務を怠る	delinquent
空の、空虚な、真空の	vacuous
(…を認識した、知っている	cognizant
強盗、窃盗	heist
感覚がなくなること、知覚麻痺	stupor
大活躍、精力的活動	hustle
どっと逃げ出すこと、大敗走	stampede
不調和な音、耳障りな音	dissonance
控えめ、穏健、中庸、節度	temperance
切断、分離、分割	severance
忠誠、忠義、忠節	allegiance
傾いた、分かれた、まっすぐでない	oblique
貧窮した、極貧の、見捨てられた	destitute
博学な、学問のある	erudite
こっけいな、ひょうきんな	jocular
初登場する女性、初舞台を踏む女性	debutante
のけ者、浮浪者、世間からさげすまれる人	pariah
親友、共謀者	sidekick
住民、居留民	denizen
駆け足で行く	canter
(取り引きなどをまとめる、決着をつける	clinch
充満する、飽和状態になる	saturate
風刺する、皮肉る、あてこする	satirize
蘇生する、元気になる、復活する	resuscitate
保証する、保証人となる	vouch
集合する	rendezvous
もがく、当惑する、悩む	squirm
古臭い、磨り減った	trite
もやの深い、曖昧な	murky
穏やかな、落ち着いた	placid
弱い、薄っぺらい、虚弱な	flimsy
裂傷、裂くこと	laceration
一時的停止、一時製造禁止	moratorium
要約、大意、一覧	synopsis
くぼみ、空洞、穴	cavity
とぎれとぎれに話す、口ごもる、どもる	falter
ぶらつく、うろつく、進む	loiter
～をシンジケートに組織する	syndicate
ぐいと前に出る、盛り上がる	hunch
引き受け、引き受けた仕事	undertaking
注釈、注解	annotation
疑念、懸念、不信の念	misgiving
栄誉、栄賛、表彰式	accolade
議長を務める、司会する、管理する	preside
和らぐ、軽減する	abate
反響する、残響する	reverberate
起こる、生じる、発生する	transpire
装飾様式、装飾、舞台装置	decor
衣装	attire
汚名、恥辱、徴候	stigma
からくり、仕掛け、たくらみ	gimmick
骨髄、主要部、活力	marrow
乱心、逆上、感情の激発	frenzy
平衡状態、釣り合い	poise
(行動・思想・信教などの自由の範囲、許容度、緯度	latitude
荒々しく入り込む、押し入る	barge in
口を閉ざす、黙秘する	clam up
包囲する、制限的な態度で囲む	hem in
弱々しく終わる、尽きる	peter out
(預金・資金などを少額引き出す、使い込む	dip into
大いに楽しむ、非常に喜ぶ	revel in
押し返す	knock back
横切る、横断する	cut across
傾いた、分かれた、まっすぐでない	oblique
貧窮した、極貧の、見捨てられた	destitute
博学な、学問のある	erudite
こっけいな、ひょうきんな	jocular
生まれ変わらせる、再生する	regenerate
非難し返す、反訴する	recriminate
ちょんと引く、ひったくる	twitch
待ち伏せる	ambush
襲う、攻撃する	go at
努力する、頑張る、執拗に求める	push for
確実に知っている、断定する	swear by
ほじくり出す、かぎ出す	pry out
