1,強い好み、趣味、嗜好,penchant
2,付加物、付属物,adjunct
3,わずかな量、わずかな食いぶち、わずかな収入,pittance
4,埋め込み、埋め込まれたもの、インプラント,implant
5,だんだん小さくなる、縮まる、衰える,dwindle
6,防備を固める、要塞を築く,fortify
7,あふれそうになる、あふれる,brim
8,色褪せる/色褪せさせる、(名声など,tarnish
9,光を発する、輝く、明るくされた、明瞭な,luminous
10,厭世的な、悲観的な,pessimistic
11,だらしない、みすぼらしい,scruffy
12,熟練した、熟達した,adept
13,都合のよい、さい先のよい,propitious
14,だまされやすい、すぐ真に受ける,gullible
15,人目を引く、目立つ、派手な,conspicuous
16,気前のよい、物惜しみしない、豊富な,bountiful
17,仕返し、報復、復讐,retaliation
18,編集、編纂,compilation
19,改良、改善,reformation
20,燃焼、激高、騒動、動揺,combustion
21,操る、さっと読む,flip through
22,組み立てる、建設する、装う,rig up
23,縮小する、小さくする,scale down
24,(人を買収する、抱き込む,buy off
25,並外れた、巨大な、驚異的な,prodigious
26,未納の、滞納している、義務を怠る,delinquent
27,空の、空虚な、真空の,vacuous
28,(…を認識した、知っている,cognizant
29,強盗、窃盗,heist
30,感覚がなくなること、知覚麻痺,stupor
31,大活躍、精力的活動,hustle
32,どっと逃げ出すこと、大敗走,stampede
33,不調和な音、耳障りな音,dissonance
34,控えめ、穏健、中庸、節度,temperance
35,切断、分離、分割,severance
36,忠誠、忠義、忠節,allegiance
37,傾いた、分かれた、まっすぐでない,oblique
38,貧窮した、極貧の、見捨てられた,destitute
39,博学な、学問のある,erudite
40,こっけいな、ひょうきんな,jocular
41,初登場する女性、初舞台を踏む女性,debutante
42,のけ者、浮浪者、世間からさげすまれる人,pariah
43,親友、共謀者,sidekick
44,住民、居留民,denizen
45,駆け足で行く,canter
46,(取り引きなどをまとめる、決着をつける,clinch
47,充満する、飽和状態になる,saturate
48,風刺する、皮肉る、あてこする,satirize
49,蘇生する、元気になる、復活する,resuscitate
50,保証する、保証人となる,vouch
51,集合する,rendezvous
52,もがく、当惑する、悩む,squirm
53,古臭い、磨り減った,trite
54,もやの深い、曖昧な,murky
55,穏やかな、落ち着いた,placid
56,弱い、薄っぺらい、虚弱な,flimsy
57,裂傷、裂くこと,laceration
58,一時的停止、一時製造禁止,moratorium
59,要約、大意、一覧,synopsis
60,くぼみ、空洞、穴,cavity
61,とぎれとぎれに話す、口ごもる、どもる,falter
62,ぶらつく、うろつく、進む,loiter
63,～をシンジケートに組織する,syndicate
64,ぐいと前に出る、盛り上がる,hunch
65,引き受け、引き受けた仕事,undertaking
66,注釈、注解,annotation
67,疑念、懸念、不信の念,misgiving
68,栄誉、栄賛、表彰式,accolade
69,議長を務める、司会する、管理する,preside
70,和らぐ、軽減する,abate
71,反響する、残響する,reverberate
72,起こる、生じる、発生する,transpire
73,装飾様式、装飾、舞台装置,decor
74,衣装,attire
75,汚名、恥辱、徴候,stigma
76,からくり、仕掛け、たくらみ,gimmick
77,骨髄、主要部、活力,marrow
78,乱心、逆上、感情の激発,frenzy
79,平衡状態、釣り合い,poise
80,(行動・思想・信教などの自由の範囲、許容度、緯度,latitude
81,荒々しく入り込む、押し入る,barge in
82,口を閉ざす、黙秘する,clam up
83,包囲する、制限的な態度で囲む,hem in
84,弱々しく終わる、尽きる,peter out
85,(預金・資金などを少額引き出す、使い込む,dip into
86,大いに楽しむ、非常に喜ぶ,revel in
87,押し返す,knock back
88,横切る、横断する,cut across
89,傾いた、分かれた、まっすぐでない,oblique
90,貧窮した、極貧の、見捨てられた,destitute
91,博学な、学問のある,erudite
92,こっけいな、ひょうきんな,jocular
93,生まれ変わらせる、再生する,regenerate
94,非難し返す、反訴する,recriminate
95,ちょんと引く、ひったくる,twitch
96,待ち伏せる,ambush
97,襲う、攻撃する,go at
98,努力する、頑張る、執拗に求める,push for
99,確実に知っている、断定する,swear by
100,ほじくり出す、かぎ出す,pry out
